lambda,turn,seedPopulation,error
1.4,20,49.3389,1.266340520150905
1.4,21,49.5961,1.2687460965188322
1.4,22,49.7637,1.2702458903663256
1.4,23,49.8982,1.2716638495569228
1.4,24,49.9825,1.2722623525850452
1.4,25,50.0407,1.2728104522991188
1.4,26,50.0838,1.273270380938321
1.4,27,50.1089,1.2735078885116593
1.4,28,50.1197,1.273604928008524
1.4,29,50.1337,1.2736882394871074
1.4,30,50.146,1.2738440526713362
1.4,31,50.1503,1.2738731228671156
1.4,32,50.1554,1.2738947223427317
1.4,33,50.1601,1.273859205329174
1.4,34,50.1638,1.2738692320624878
1.4,35,50.1693,1.2739329997093236
1.4,36,50.1726,1.273958564348213
1.4,37,50.1752,1.2739759321104742
1.4,38,50.1774,1.2740181227247973
1.4,39,50.1774,1.2740181227247973
1.4,40,50.1774,1.2740181227247973
1.4,41,50.1774,1.2740181227247973
1.4,42,50.1774,1.2740181227247973
1.4,43,50.1774,1.2740181227247973
1.4,44,50.1774,1.2740181227247973
1.4,45,50.1774,1.2740181227247973
1.4,46,50.1774,1.2740181227247973
1.4,47,50.1774,1.2740181227247973
1.4,48,50.1774,1.2740181227247973
1.4,49,50.1774,1.2740181227247973
1.45,0,1.0,0.0
1.45,1,1.4274,0.030984231306253607
1.45,2,2.0692,0.057893798495300075
1.45,3,2.9614,0.09391824769304336
1.45,4,4.2807,0.14586134091186764
1.45,5,6.2348,0.22099785163230035
1.45,6,9.0481,0.33118192384456613
1.45,7,13.0173,0.4802809017519909
1.45,8,18.3459,0.6589697611639309
1.45,9,24.6598,0.8334908660235314
1.45,10,31.176,0.9801634748592107
1.45,11,36.8965,1.0811499672719833
1.45,12,41.6317,1.1505452039052315
1.45,13,45.1777,1.194676329542375
1.45,14,47.7228,1.2222724939961935
1.45,15,49.4801,1.2388005375968518
1.45,16,50.712,1.2498102303839005
1.45,17,51.581,1.2579042924931585
1.45,18,52.0922,1.2619228038136328
1.45,19,52.4443,1.264381568945062
1.45,20,52.6971,1.2659090074091424
1.45,21,52.8875,1.26729028058228
1.45,22,53.0122,1.2679325678042161
1.45,23,53.1074,1.268565378696053
1.45,24,53.1882,1.2692671647916427
1.45,25,53.231,1.2697727726070624
1.45,26,53.2482,1.2699022369867592
1.45,27,53.2624,1.2700373803690255
1.45,28,53.2703,1.270063002509481
1.45,29,53.2759,1.2700295004482598
1.45,30,53.2814,1.2700437193140175
1.45,31,53.2873,1.2700429212389324
1.45,32,53.293,1.2701184582090406
1.45,33,53.2954,1.270145775426478
1.45,34,53.2984,1.2701891887258938
1.45,35,53.2987,1.2701961153613937
1.45,36,53.2987,1.2701961153613937
1.45,37,53.2987,1.2701961153613937
1.45,38,53.2987,1.2701961153613937
1.45,39,53.2987,1.2701961153613937
1.45,40,53.2987,1.2701961153613937
1.45,41,53.2987,1.2701961153613937
1.45,42,53.2987,1.2701961153613937
1.45,43,53.2987,1.2701961153613937
1.45,44,53.2987,1.2701961153613937
1.45,45,53.2987,1.2701961153613937
1.45,46,53.2987,1.2701961153613937
1.45,47,53.2987,1.2701961153613937
1.45,48,53.2987,1.2701961153613937
1.45,49,53.2987,1.2701961153613937
1.5,0,1.0,0.0
1.5,1,1.5176,0.03155038924311593
1.5,2,2.2689,0.06127546982894083
1.5,3,3.4083,0.10368534015059039
1.5,4,5.1103,0.1649458876421237
1.5,5,7.6377,0.2568883729618099
1.5,6,11.4579,0.39246445279897024
1.5,7,16.9583,0.5766077528485951
1.5,8,24.1286,0.775208169607712
1.5,9,32.0334,0.9483376159594847
1.5,10,39.3447,1.0702462211023303
1.5,11,45.2353,1.1463427664704895
1.5,12,49.6137,1.1896355668144807
1.5,13,52.7728,1.2153779676969734
1.5,14,54.8993,1.2304368993483124
1.5,15,56.2572,1.2391537744832917
1.5,16,57.1316,1.2444937097924225
1.5,17,57.6925,1.247422444851864
1.5,18,58.033,1.249091290163598
1.5,19,58.2367,1.2497608097351502
1.5,20,58.3891,1.2502276506671777
1.5,21,58.5041,1.2507743810897551
1.5,22,58.5829,1.2513591713000807
1.5,23,58.6163,1.251516515156041
1.5,24,58.6353,1.2516484143590745
1.5,25,58.6514,1.2517966682947659
1.5,26,58.6584,1.2518503674930912
1.5,27,58.6604,1.251845481453529
1.5,28,58.6629,1.251866467456857
1.5,29,58.6641,1.2518883052946208
1.5,30,58.6641,1.2518883052946208
1.5,31,58.6641,1.2518883052946208
1.5,32,58.6641,1.2518883052946208
1.5,33,58.6641,1.2518883052946208
1.5,34,58.6641,1.2518883052946208
1.5,35,58.6641,1.2518883052946208
1.5,36,58.6641,1.2518883052946208
1.5,37,58.6641,1.2518883052946208
1.5,38,58.6641,1.2518883052946208
1.5,39,58.6641,1.2518883052946208
1.5,40,58.6641,1.2518883052946208
1.5,41,58.6641,1.2518883052946208
1.5,42,58.6641,1.2518883052946208
1.5,43,58.6641,1.2518883052946208
1.5,44,58.6641,1.2518883052946208
1.5,45,58.6641,1.2518883052946208
1.5,46,58.6641,1.2518883052946208
1.5,47,58.6641,1.2518883052946208
1.5,48,58.6641,1.2518883052946208
1.5,49,58.6641,1.2518883052946208
1.55,0,1.0,0.0
1.55,1,1.5222,0.031699524299437565
1.55,2,2.3742,0.06373277561247681
1.55,3,3.6653,0.10996732655894359
1.55,4,5.6413,0.17975235082704
1.55,5,8.7557,0.28883836236334837
1.55,6,13.5078,0.45152527273729426
1.55,7,20.4981,0.6650424113101998
1.55,8,29.1764,0.8747356587098487
1.55,9,37.8727,1.033385636916769
1.55,10,45.102,1.1299056016396278
1.55,11,50.3851,1.182292574132127
1.55,12,53.9013,1.208112701431439
1.55,13,56.3142,1.224133351910666
1.55,14,57.8494,1.2330074674706921
1.55,15,58.7869,1.238495075340417
1.55,16,59.3294,1.241214098525596
1.55,17,59.6154,1.2422647339932666
1.55,18,59.8045,1.242938260328195
1.55,19,59.9351,1.243324679029044
1.55,20,60.01,1.243531344414727
1.55,21,60.0616,1.2438443152458731
1.55,22,60.0892,1.2440089274387134
1.55,23,60.1078,1.244105549221608
1.55,24,60.115,1.2441278401271632
1.55,25,60.1229,1.2441530169816915
1.55,26,60.1266,1.2441516242639494
1.55,27,60.1293,1.2441795172702825
1.55,28,60.1299,1.2441909944869067
1.55,29,60.1299,1.2441909944869067
1.55,30,60.1299,1.2441909944869067
1.55,31,60.1299,1.2441909944869067
1.55,32,60.1299,1.2441909944869067
1.55,33,60.1299,1.2441909944869067
1.55,34,60.1299,1.2441909944869067
1.55,35,60.1299,1.2441909944869067
1.55,36,60.1299,1.2441909944869067
1.55,37,60.1299,1.2441909944869067
1.55,38,60.1299,1.2441909944869067
1.55,39,60.1299,1.2441909944869067
1.55,40,60.1299,1.2441909944869067
1.55,41,60.1299,1.2441909944869067
1.55,42,60.1299,1.2441909944869067
1.55,43,60.1299,1.2441909944869067
1.55,44,60.1299,1.2441909944869067
1.55,45,60.1299,1.2441909944869067
1.55,46,60.1299,1.2441909944869067
1.55,47,60.1299,1.2441909944869067
1.55,48,60.1299,1.2441909944869067
1.55,49,60.1299,1.2441909944869067
1.6,0,1.0,0.0
1.6,1,1.6025,0.032615469109478656
1.6,2,2.5631,0.06622045049017533
1.6,3,4.1404,0.11926531352436509
1.6,4,6.6243,0.20230601641474344
1.6,5,10.6309,0.3343280229591752
