lambda,turn,seedPopulation,error
1.55,29,59.955,3.937853312546686
1.55,30,59.955,3.937853312546686
1.55,31,59.955,3.937853312546686
1.55,32,59.955,3.937853312546686
1.55,33,59.955,3.937853312546686
1.55,34,59.955,3.937853312546686
1.55,35,59.955,3.937853312546686
1.55,36,59.955,3.937853312546686
1.55,37,59.955,3.937853312546686
1.55,38,59.955,3.937853312546686
1.55,39,59.955,3.937853312546686
1.55,40,59.955,3.937853312546686
1.55,41,59.955,3.937853312546686
1.55,42,59.955,3.937853312546686
1.55,43,59.955,3.937853312546686
1.55,44,59.955,3.937853312546686
1.55,45,59.955,3.937853312546686
1.55,46,59.955,3.937853312546686
1.55,47,59.955,3.937853312546686
1.55,48,59.955,3.937853312546686
1.55,49,59.955,3.937853312546686
1.6,0,1.0,0.0
1.6,1,1.556,0.10150414807015617
1.6,2,2.528,0.21239608077365535
1.6,3,3.944,0.3706408393285967
1.6,4,6.256,0.6238638579112656
1.6,5,10.11,1.0465093927248361
1.6,6,16.05,1.666275884598539
1.6,7,24.427,2.3835409299133197
1.6,8,34.118,3.022590623448753
1.6,9,42.985,3.428488577804991
1.6,10,49.895,3.6447975315798686
1.6,11,54.796,3.7540875253829995
1.6,12,58.241,3.815465724848785
1.6,13,60.293,3.8597898809537057
1.6,14,61.23,3.8692172362385264
1.6,15,61.769,3.874528188895738
1.6,16,62.112,3.8783243641660192
1.6,17,62.344,3.8820111962597252
1.6,18,62.452,3.885499717915458
1.6,19,62.477,3.883861587825784
1.6,20,62.496,3.882877906425364
1.6,21,62.534,3.881784882572447
1.6,22,62.581,3.882299837736035
1.6,23,62.621,3.8839656985696394
1.6,24,62.621,3.8839656985696394
1.6,25,62.621,3.8839656985696394
1.6,26,62.621,3.8839656985696394
1.6,27,62.621,3.8839656985696394
1.6,28,62.621,3.8839656985696394
1.6,29,62.621,3.8839656985696394
1.6,30,62.621,3.8839656985696394
1.6,31,62.621,3.8839656985696394
1.6,32,62.621,3.8839656985696394
1.6,33,62.621,3.8839656985696394
1.6,34,62.621,3.8839656985696394
1.6,35,62.621,3.8839656985696394
1.6,36,62.621,3.8839656985696394
1.6,37,62.621,3.8839656985696394
1.6,38,62.621,3.8839656985696394
1.6,39,62.621,3.8839656985696394
1.6,40,62.621,3.8839656985696394
1.6,41,62.621,3.8839656985696394
1.6,42,62.621,3.8839656985696394
1.6,43,62.621,3.8839656985696394
1.6,44,62.621,3.8839656985696394
1.6,45,62.621,3.8839656985696394
1.6,46,62.621,3.8839656985696394
1.6,47,62.621,3.8839656985696394
1.6,48,62.621,3.8839656985696394
1.6,49,62.621,3.8839656985696394
1.65,0,1.0,0.0
1.65,1,1.68,0.10993692577300962
1.65,2,2.788,0.22480742639910334
